date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:46	134/134	---MCZ	200	added ('OK')	text/plain	date:Sun,%2008%20Dec%202024%2016:34:05%20GMT	https://vuabill.com/robots.txt		(from )
22:09:46	53733/53733	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:44%20GMT	https://vuabill.com/	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/index.html	(from )
22:09:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Dec%202024%2015:09:44%20GMT	https://fakebillfree.com/%c4%90%e1%bb%8f%20H%e1%bb%93ng%20V%c3%a0ng%20v%c3%a0%20Cam%20Minh%20h%e1%bb%8da%20Hi%e1%bb%87n%20%c4%91%e1%ba%a1i%20Trang%20tr%c3%ad%20Bi%e1%bb%83u%20ng%e1%bb%af%20T%e1%ba%bft%20nguy%c3%aan%20%c4%91%c3%a1n%20(1).png	D:/My%20Web%20Sites/fakebill1/Fakebill1/fakebillfree.com/%c4%90%e1%bb%8f%20H%e1%bb%93ng%20V%c3%a0ng%20v%c3%a0%20Cam%20Minh%20h%e1%bb%8da%20Hi%e1%bb%87n%20%c4%91%e1%ba%a1i%20Trang%20tr%c3%ad%20Bi%e1%bb%83u%20ng%e1%bb%af%20T%e1%ba%bft%20nguy%c3%aan%20%c4%91%c3%a1n%20(1).0.delayed	(from https://vuabill.com/)
22:09:47	0/-1	---M--	301	error ('')			https://fakebillfree.com/%c4%90%e1%bb%8f%20H%e1%bb%93ng%20V%c3%a0ng%20v%c3%a0%20Cam%20Minh%20h%e1%bb%8da%20Hi%e1%bb%87n%20%c4%91%e1%ba%a1i%20Trang%20tr%c3%ad%20Bi%e1%bb%83u%20ng%e1%bb%af%20T%e1%ba%bft%20nguy%c3%aan%20%c4%91%c3%a1n%20(1).png	D:/My%20Web%20Sites/fakebill1/Fakebill1/fakebillfree.com/%c4%90%e1%bb%8f%20H%e1%bb%93ng%20V%c3%a0ng%20v%c3%a0%20Cam%20Minh%20h%e1%bb%8da%20Hi%e1%bb%87n%20%c4%91%e1%ba%a1i%20Trang%20tr%c3%ad%20Bi%e1%bb%83u%20ng%e1%bb%af%20T%e1%ba%bft%20nguy%c3%aan%20%c4%91%c3%a1n%20(1).1.delayed	(from https://vuabill.com/)
22:09:47	1870/1870	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:24:48%20GMT	https://vuabill.com/demo/icons8-bank-100.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-bank-100.png	(from https://vuabill.com/)
22:09:47	446/446	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2013%20Jul%202021%2013:39:29%20GMT	https://vuabill.com/assets/img/favicon/site.webmanifest	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/assets/img/favicon/site.webmanifest	(from https://vuabill.com/)
22:09:48	2337/2337	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2013%20Jul%202021%2013:39:29%20GMT	https://vuabill.com/assets/img/favicon/safari-pinned-tab.svg	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/assets/img/favicon/safari-pinned-tab.svg	(from https://vuabill.com/)
22:09:48	22627/22627	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:50%20GMT	https://vuabill.com/vendor/sweetalert2/dist/sweetalert2.min.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/sweetalert2/dist/sweetalert2.min.css	(from https://vuabill.com/)
22:09:48	5159/5159	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:50%20GMT	https://vuabill.com/vendor/notyf/notyf.min.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/notyf/notyf.min.css	(from https://vuabill.com/)
22:09:48	25408/25408	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:52%20GMT	https://vuabill.com/vendor/fullcalendar/main.min.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/fullcalendar/main.min.css	(from https://vuabill.com/)
22:09:48	13010/13010	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:50%20GMT	https://vuabill.com/vendor/apexcharts/dist/apexcharts.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/apexcharts/dist/apexcharts.css	(from https://vuabill.com/)
22:09:49	9846/9846	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:50%20GMT	https://vuabill.com/vendor/dropzone/dist/min/dropzone.min.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/dropzone/dist/min/dropzone.min.css	(from https://vuabill.com/)
22:09:49	6735/6735	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:50%20GMT	https://vuabill.com/vendor/choices.js/public/assets/styles/choices.min.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/choices.js/public/assets/styles/choices.min.css	(from https://vuabill.com/)
22:09:49	14272/14272	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:52:50%20GMT	https://vuabill.com/vendor/leaflet/dist/leaflet.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/vendor/leaflet/dist/leaflet.css	(from https://vuabill.com/)
22:09:50	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:%2264ed75bb-76fe%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	D:/My%20Web%20Sites/fakebill1/Fakebill1/cdnjs.cloudflare.com/ajax/libs/jquery/3.7.1/jquery.min.js	(from https://vuabill.com/)
22:09:51	549365/549365	---MCZ	200	added ('OK')	text/css	date:Mon,%2010%20Jan%202022%2014:54:24%20GMT	https://vuabill.com/css/volt.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/css/volt.css	(from https://vuabill.com/)
22:09:53	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Tue,%2010%20Dec%202024%2015:09:49%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	D:/My%20Web%20Sites/fakebill1/Fakebill1/translate.google.com/translate_a/element.fa0d8.delayed	(from https://vuabill.com/)
22:09:53	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	D:/My%20Web%20Sites/fakebill1/Fakebill1/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://vuabill.com/)
22:09:53	86775/86775	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Dec%202024%2015:09:51%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	D:/My%20Web%20Sites/fakebill1/Fakebill1/translate.google.com/translate_a/elementa0d8.js	(from https://vuabill.com/)
22:09:54	27004/27004	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:51%20GMT	https://vuabill.com/register	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/register.html	(from https://vuabill.com/)
22:09:54	25975/25975	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:51%20GMT	https://vuabill.com/login	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/login.html	(from https://vuabill.com/)
22:09:54	2609/2609	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2010%20Jan%202022%2014:54:26%20GMT	https://vuabill.com/js/sidebar.js	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/js/sidebar.js	(from https://vuabill.com/)
22:09:54	23659/23659	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Dec%202024%2015:51:07%20GMT	https://sieubill.com/demo/Your%20paragraph%20text%20(2).png	D:/My%20Web%20Sites/fakebill1/Fakebill1/sieubill.com/demo/Your%20paragraph%20text%20(2).png	(from https://vuabill.com/)
22:09:55	2995/2995	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:27:21%20GMT	https://vuabill.com/demo/icons8-home-96.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-home-96.png	(from https://vuabill.com/)
22:09:55	23614/23614	---MC-	302	error ('Found')	text/html	date:Tue,%2010%20Dec%202024%2015:09:52%20GMT	https://vuabill.com/nap-tien	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/nap-tien	(from https://vuabill.com/)
22:09:55	987/987	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:28:03%20GMT	https://vuabill.com/demo/icons8-topup-payment-96.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-topup-payment-96.png	(from https://vuabill.com/)
22:09:55	21695/21695	---MC-	302	error ('Found')	text/html	date:Tue,%2010%20Dec%202024%2015:09:53%20GMT	https://vuabill.com/history	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/history	(from https://vuabill.com/)
22:09:56	3025/3025	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:28:31%20GMT	https://vuabill.com/demo/icons8-history-96.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-history-96.png	(from https://vuabill.com/)
22:09:56	16123/16123	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:53%20GMT	https://vuabill.com/lich-su-download	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/lich-su-download.html	(from https://vuabill.com/)
22:09:56	1516/1516	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:28:51%20GMT	https://vuabill.com/demo/icons8-download-96.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-download-96.png	(from https://vuabill.com/)
22:09:56	28299/28299	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:54%20GMT	https://vuabill.com/fake-bill-chuyen-tien	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/fake-bill-chuyen-tien.html	(from https://vuabill.com/)
22:09:56	14519/14519	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:29:16%20GMT	https://vuabill.com/demo/icons8-money-transfer-94.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-money-transfer-94.png	(from https://vuabill.com/)
22:09:57	25516/25516	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:54%20GMT	https://vuabill.com/fake-cccd	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/fake-cccd.html	(from https://vuabill.com/)
22:09:57	3122/3122	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:29:55%20GMT	https://vuabill.com/demo/icons8-id-card-96.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-id-card-96.png	(from https://vuabill.com/)
22:09:57	24597/24597	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:55%20GMT	https://vuabill.com/fake-ho-chieu	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/fake-ho-chieu.html	(from https://vuabill.com/)
22:09:57	670/670	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:30:15%20GMT	https://vuabill.com/demo/icons8-passport-48.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-passport-48.png	(from https://vuabill.com/)
22:09:58	24076/24076	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:55%20GMT	https://vuabill.com/fake-giay-phep-lai-xe	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/fake-giay-phep-lai-xe.html	(from https://vuabill.com/)
22:09:58	1461/1461	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:31:20%20GMT	https://vuabill.com/demo/icons8-driver-license-64.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-driver-license-64.png	(from https://vuabill.com/)
22:09:58	22907/22907	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2015:09:56%20GMT	https://vuabill.com/fake-lich-su-giao-dich	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/fake-lich-su-giao-dich.html	(from https://vuabill.com/)
22:09:58	3236/3236	---M--	200	added ('OK')	image/png	date:Thu,%2005%20Dec%202024%2007:30:50%20GMT	https://vuabill.com/demo/icons8-notification-100.png	D:/My%20Web%20Sites/fakebill1/Fakebill1/vuabill.com/demo/icons8-notification-100.png	(from https://vuabill.com/)
